Ticker,Date,Open,High,Low,Close,Adj Close,Volume
SPY,2019-01-02,245.979996,251.210007,245.94999700000002,250.17999300000002,249.082855,126925200
SPY,2019-01-03,248.229996,248.57000699999998,243.669998,244.210007,243.139038,144140700
SPY,2019-01-04,247.58999599999999,253.11000099999998,247.169998,252.38999900000002,251.283173,142628800
SPY,2019-01-07,252.690002,255.94999700000002,251.690002,254.38000499999998,253.26445,103139100
SPY,2019-01-08,256.820007,257.309998,254.0,256.769989,255.643951,102512600
SPY,2019-01-09,257.559998,258.910004,256.190002,257.97000099999997,256.838684,95006600
SPY,2019-01-10,256.26001,259.160004,255.5,258.880005,257.74472000000003,96823900
SPY,2019-01-11,257.679993,259.01001,257.02999900000003,258.980011,257.844269,73858100
SPY,2019-01-14,256.859985,258.299988,256.410004,257.399994,256.271179,70908200
SPY,2019-01-15,257.820007,260.700012,257.809998,260.350006,259.208252,85208300
SPY,2019-01-16,260.829987,261.97000099999997,260.600006,260.980011,259.83551,77636700
SPY,2019-01-17,260.01001,263.920013,259.959991,262.959991,261.806793,96118400
SPY,2019-01-18,264.980011,266.980011,263.0,266.459991,265.291443,127900300
SPY,2019-01-22,264.820007,265.059998,261.059998,262.859985,261.707245,115531200
SPY,2019-01-23,264.01001,264.790009,260.660004,263.410004,262.254852,86030300
SPY,2019-01-24,263.209991,264.200012,262.079987,263.549988,262.394226,59204100
SPY,2019-01-25,265.609985,266.700012,263.660004,265.77999900000003,264.614441,96883400
SPY,2019-01-28,263.390015,263.829987,261.790009,263.76001,262.603302,85613700
SPY,2019-01-29,263.920013,264.549988,262.480011,263.410004,262.254852,66136300
SPY,2019-01-30,265.100006,268.519989,264.25,267.579987,266.406525,92473700
SPY,2019-01-31,267.51001,270.47000099999997,267.269989,269.929993,268.746246,104012100
SPY,2019-02-01,270.149994,271.200012,269.179993,270.059998,268.875671,85782500
SPY,2019-02-04,270.109985,272.02999900000003,269.359985,271.959991,270.767334,60744800
SPY,2019-02-05,272.440002,273.440002,271.880005,273.100006,271.90234399999997,79552800
SPY,2019-02-06,272.790009,273.339996,271.920013,272.73999,271.54391499999997,58347800
SPY,2019-02-07,270.940002,271.549988,268.290009,270.140015,268.955353,95482000
SPY,2019-02-08,268.75,270.579987,267.829987,270.47000099999997,269.283875,75788900
SPY,2019-02-11,271.200012,271.48999,270.02999900000003,270.619995,269.433228,68021400
SPY,2019-02-12,272.420013,274.519989,272.339996,274.100006,272.89797999999996,72270200
SPY,2019-02-13,275.02999900000003,275.929993,274.559998,274.98999,273.784058,65277200
SPY,2019-02-14,273.77999900000003,275.640015,272.869995,274.380005,273.176727,83234400
SPY,2019-02-15,276.359985,277.410004,276.130005,277.369995,276.153625,97088700
SPY,2019-02-19,276.480011,278.579987,276.47000099999997,277.850006,276.631531,59120800
SPY,2019-02-20,277.809998,278.920013,277.25,278.410004,277.189056,76610800
SPY,2019-02-21,277.700012,278.100006,276.350006,277.420013,276.2034,64214700
SPY,2019-02-22,278.109985,279.359985,277.399994,279.140015,277.915863,78114600
SPY,2019-02-25,280.730011,281.309998,279.429993,279.519989,278.294189,69030700
SPY,2019-02-26,279.130005,280.299988,278.899994,279.320007,278.095062,56844100
SPY,2019-02-27,278.519989,279.589996,277.480011,279.200012,277.975616,56921600
SPY,2019-02-28,278.959991,279.450012,278.320007,278.679993,277.457855,69268300
SPY,2019-03-01,280.440002,280.880005,278.820007,280.420013,279.190247,78880500
SPY,2019-03-04,281.600006,281.869995,276.839996,279.399994,278.174713,106494600
SPY,2019-03-05,279.540009,279.76001,278.410004,279.019989,277.79638700000004,59114600
SPY,2019-03-06,279.149994,279.160004,276.97000099999997,277.329987,276.11377000000005,75039800
SPY,2019-03-07,276.829987,276.98999,274.070007,275.01001,273.803986,94885100
SPY,2019-03-08,272.940002,274.649994,272.420013,274.459991,273.256378,85795800
SPY,2019-03-11,275.26001,278.619995,275.230011,278.440002,277.218933,65098900
SPY,2019-03-12,279.059998,280.070007,278.850006,279.48999,278.264313,79667500
SPY,2019-03-13,280.480011,282.380005,280.299988,281.339996,280.106201,80639200
SPY,2019-03-14,281.369995,281.839996,280.670013,281.160004,279.927002,67518400
SPY,2019-03-15,280.540009,282.209991,280.329987,281.309998,281.309998,81309000
SPY,2019-03-18,281.549988,282.660004,281.299988,282.329987,282.329987,62199800
SPY,2019-03-19,283.51001,284.359985,281.410004,282.399994,282.399994,90268100
SPY,2019-03-20,282.160004,283.5,280.320007,281.549988,281.549988,84609200
